source_id,source_label,source_parent,level,citizen_category,display_name,rationale,provenance
L1-agua,Agua,"",1,Agua,Agua,"El agua que llega a tu llave, el drenaje y las plantas potabilizadoras.",hand
L1-transporte,Transporte público,"",1,Transporte público,Transporte público,"Metro, Metrobús, Cablebús, trolebús, tren ligero y RTP.",hand
L1-calles,Calles y banquetas,"",1,Calles y banquetas,Calles y banquetas,"Pavimento, bacheo, banquetas y mantenimiento vial.",hand
L1-basura,Basura y limpia,"",1,Basura y limpia,Basura y limpia,Recolección y tratamiento de residuos sólidos.,hand
L1-parques,Parques y espacios públicos,"",1,Parques y espacios públicos,Parques y espacios públicos,"Parques, plazas, arbolado urbano y espacios comunitarios.",hand
L1-seguridad,Seguridad,"",1,Seguridad,Seguridad,"Policía preventiva, C5, bomberos y protección civil.",hand
L1-justicia,Justicia,"",1,Justicia,Justicia,"Fiscalía, defensoría, sistema penitenciario y búsqueda de personas.",hand
L1-salud,Salud,"",1,Salud,Salud,"Hospitales, centros de salud y prevención.",hand
L1-educacion,Educación,"",1,Educación,Educación,"Escuelas, becas, infraestructura educativa y ciencia.",hand
L1-apoyos,Apoyos sociales,"",1,Apoyos sociales,Apoyos sociales,"Mi Beca, Pensión adultos mayores, Pilares, vivienda social.",hand
L1-cultura,Cultura y deporte,"",1,Cultura y deporte,Cultura y deporte,"Fomento cultural, museos, deporte comunitario.",hand
L1-medioambiente,Medio ambiente,"",1,Medio ambiente,Medio ambiente,"Bosques, suelo de conservación, Altépetl, Cosecha de Lluvia.",hand
L1-alumbrado,Alumbrado,"",1,Alumbrado,Alumbrado,Luminarias y alumbrado público.,hand
L1-gobierno,Gobierno y administración,"",1,Gobierno y administración,Gobierno y administración,"Recaudación, planeación, órganos autónomos y pensiones a trabajadores.",hand
L1-deuda,Deuda,"",1,Deuda,Deuda,Pago de intereses y amortización de deuda pública.,hand
L1-otros,Otros,"",1,Otros,Otros,Rubros no clasificables. Se declaran en la metodología.,hand
L2-S216,Apoyo para el impulso laboral de personas egresadas del Sistema de Justicia Penal de la Ciudad de México (Atención Prioritaria a Personas Liberadas en Situación de Vulnerabilidad),Justicia,2,Justicia,Apoyo para el impulso laboral de personas egresadas del Sistema de Justicia Penal de la Ciudad de México (Atención Prioritaria a Personas Liberadas en Situación de Vulnerabilidad),Se clasifica en Justicia por regla de palabra clave sobre el nombre del programa.,keyword
L2-E116,Programa Pilares,Educación,2,Educación,Programa Pilares,"Red de Puntos de Innovación, Libertad, Arte, Educación y Saberes.",explicit
L2-S109,Diálogos por el Bienestar y la Paz en Iztapalapa,Apoyos sociales,2,Apoyos sociales,Diálogos por el Bienestar y la Paz en Iztapalapa,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Otros Asuntos Sociales').,funcion
L2-S206,"Formación musical, Tlalpan",Cultura y deporte,2,Cultura y deporte,"Formación musical, Tlalpan","Se clasifica en Cultura y deporte por fallback sobre desc_funcion ('Recreación, Cultura y Otras Manifestaciones Sociales').",funcion
L2-E099,Acciones jurídicas en materia laboral,Apoyos sociales,2,Apoyos sociales,Acciones jurídicas en materia laboral,"Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Asuntos Económicos, Comerciales y Laborales en General').",funcion
L2-E129,Provisión emergente de agua potable,Agua,2,Agua,Provisión emergente de agua potable,Se clasifica en Agua por regla de palabra clave sobre el nombre del programa.,keyword
L2-E138,Atención y prevención de la violencia intrafamiliar,Apoyos sociales,2,Apoyos sociales,Atención y prevención de la violencia intrafamiliar,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-E169,Prevención del Delito y Seguridad Ciudadana,Seguridad,2,Seguridad,Prevención del Delito y Seguridad Ciudadana,Operación de la policía preventiva de la SSC — la partida más grande de seguridad.,explicit
L2-F017,Programa de cultura física y eventos deportivos,Cultura y deporte,2,Cultura y deporte,Programa de cultura física y eventos deportivos,Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-P036,Planeación de políticas públicas enfocadas al desarrollo de los pueblos y barrios originarios y comunidades indígenas residentes,Apoyos sociales,2,Apoyos sociales,Planeación de políticas públicas enfocadas al desarrollo de los pueblos y barrios originarios y comunidades indígenas residentes,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-E043,Policía auxiliar,Seguridad,2,Seguridad,Policía auxiliar,Se clasifica en Seguridad por regla de palabra clave sobre el nombre del programa.,keyword
L2-U014,Financiamiento y Promoción de Proyectos Culturales y Artísticos,Cultura y deporte,2,Cultura y deporte,Financiamiento de Proyectos Culturales,Apoyos a proyectos culturales y artísticos.,explicit
L2-S012,Colectivos Culturales Comunitarios Ciudad de México,Cultura y deporte,2,Cultura y deporte,Colectivos Culturales Comunitarios,Colectivos Culturales Comunitarios CDMX.,explicit
L2-E028,Operación del museo de arte popular,Cultura y deporte,2,Cultura y deporte,Operación del museo de arte popular,Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-S066,Centros para el Desarrollo Infantil,Apoyos sociales,2,Apoyos sociales,Centros para el Desarrollo Infantil,Centros para el desarrollo infantil.,explicit
L2-U045,Subsidios Ambientales,Medio ambiente,2,Medio ambiente,Subsidios Ambientales,Subsidios a proyectos ambientales.,explicit
L2-S084,Juntos hagamos deporte,Cultura y deporte,2,Cultura y deporte,Juntos hagamos deporte,Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-P019,Planeación de la política de turismo,Gobierno y administración,2,Gobierno y administración,Planeación de la política de turismo,Se clasifica en Gobierno y administración por regla de palabra clave sobre el nombre del programa.,keyword
L2-E019,Prevención y atención de la violencia contra las mujeres,Apoyos sociales,2,Apoyos sociales,Prevención y atención de la violencia contra las mujeres,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-K006,Mejoramiento y mantenimiento de la infraestructura vial,Calles y banquetas,2,Calles y banquetas,Mejoramiento y mantenimiento de la infraestructura vial,Se clasifica en Calles y banquetas por fallback sobre desc_funcion ('Vivienda y Servicios a la Comunidad').,funcion
L2-S207,Cultivando arte en Tlalpan,Cultura y deporte,2,Cultura y deporte,Cultivando arte en Tlalpan,Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-K019,"Construcción, mantenimiento y operación de la infraestructura del sistema penitenciario",Justicia,2,Justicia,Construcción y Operación del Sistema Penitenciario,Obra e infraestructura penitenciaria.,explicit
L2-O010,Consejería y Asuntos Legales,Gobierno y administración,2,Gobierno y administración,Consejería y Asuntos Legales,Operación de la Consejería Jurídica y Servicios Legales.,explicit
L2-F012,Promoción y fomento de los derechos humanos de la adolescencia y la infancia,Justicia,2,Justicia,Promoción y fomento de los derechos humanos de la adolescencia y la infancia,Se clasifica en Justicia por fallback sobre desc_funcion ('Justicia').,funcion
L2-E079,Promoción y operación integral de la Orquesta Filarmónica de la Ciudad de México,Cultura y deporte,2,Cultura y deporte,Promoción y operación integral de la Orquesta Filarmónica de la Ciudad de México,"Se clasifica en Cultura y deporte por fallback sobre desc_funcion ('Recreación, Cultura y Otras Manifestaciones Sociales').",funcion
L2-U017,Apoyo a la formación de capital humano en educación y ciencia,Educación,2,Educación,Apoyo a la formación de capital humano en educación y ciencia,Se clasifica en Educación por regla de palabra clave sobre el nombre del programa.,keyword
L2-R001,Seguimiento a Recuperación de Cartera,Gobierno y administración,2,Gobierno y administración,Recuperación de Cartera,Seguimiento a la recuperación de cartera vencida.,explicit
L2-E057,Reinserción pos penitenciaria,Justicia,2,Justicia,Reinserción pos penitenciaria,Se clasifica en Justicia por regla de palabra clave sobre el nombre del programa.,keyword
L2-P007,Gobernabilidad y mejoramiento de los niveles de vida de los habitantes de la Ciudad de México,Gobierno y administración,2,Gobierno y administración,Gobernabilidad y mejoramiento de los niveles de vida de los habitantes de la Ciudad de México,Se clasifica en Gobierno y administración por fallback sobre desc_funcion ('Coordinación de la Política de Gobierno').,funcion
L2-E082,Regularización de la tenencia de la tierra,Gobierno y administración,2,Gobierno y administración,Regularización de la tenencia de la tierra,Se clasifica en Gobierno y administración por fallback sobre desc_funcion ('Otros Servicios Generales').,funcion
L2-E108,Ciudad segura y amigable para las mujeres y niñas,Apoyos sociales,2,Apoyos sociales,Ciudad segura y amigable para las mujeres y niñas,Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-S184,"Compañía de danza clásica, moderna y folclórica de la alcaldía Iztacalco",Cultura y deporte,2,Cultura y deporte,"Compañía de danza clásica, moderna y folclórica de la alcaldía Iztacalco",Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-S128,Defensoría de los derechos y apoyos económicos a niñas y niños de Tlalpan,Justicia,2,Justicia,Defensoría de los derechos y apoyos económicos a niñas y niños de Tlalpan,Se clasifica en Justicia por regla de palabra clave sobre el nombre del programa.,keyword
L2-U009,Otros subsidios,Calles y banquetas,2,Calles y banquetas,Otros subsidios,Se clasifica en Calles y banquetas por fallback sobre desc_funcion ('Vivienda y Servicios a la Comunidad').,funcion
L2-O006,Fiscalización a la gestión pública,Gobierno y administración,2,Gobierno y administración,Fiscalización Pública,Fiscalización a la gestión pública.,explicit
L2-P005,Calidad del Aire,Medio ambiente,2,Medio ambiente,Calidad del Aire,Monitoreo y mejora de la calidad del aire en el Valle de México.,explicit
L2-S092,Pongamos el ejemplo con deporte en Cuauhtémoc,Cultura y deporte,2,Cultura y deporte,Pongamos el ejemplo con deporte en Cuauhtémoc,Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-E146,"Protección y defensa de niñas, niños y adolescentes",Apoyos sociales,2,Apoyos sociales,"Protección y defensa de niñas, niños y adolescentes",Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-E158,Protección Integral de Personas Defensoras de Derechos Humanos y Periodistas,Seguridad,2,Seguridad,Protección a Defensores de Derechos Humanos y Periodistas,Mecanismo integral de protección a personas defensoras.,explicit
L2-E160,Servicio de Agua Potable,Agua,2,Agua,Servicio de Agua Potable,SACMEX — operación de la red de agua potable.,explicit
L2-O009,Profesionalización de Funcionarios Públicos e Investigación Aplicada a la Administración Pública,Gobierno y administración,2,Gobierno y administración,Profesionalización de Funcionarios,Profesionalización de funcionarios e investigación administrativa.,explicit
L2-S127,Mochila de Derechos,Cultura y deporte,2,Cultura y deporte,Mochila de Derechos,"Se clasifica en Cultura y deporte por fallback sobre desc_funcion ('Recreación, Cultura y Otras Manifestaciones Sociales').",funcion
L2-F006,"Financiamiento a microcréditos para el autoempleo, atención a las medianas y pequeñas empresas y comercialización de productos rurales",Apoyos sociales,2,Apoyos sociales,Microcréditos y Apoyo a MiPyMEs,Financiamiento a microcréditos y apoyo a pequeñas y medianas empresas.,explicit
L2-G017,"Vigilancia sanitaria en establecimientos, productos, actividades, servicios y personas",Salud,2,Salud,"Vigilancia sanitaria en establecimientos, productos, actividades, servicios y personas",Se clasifica en Salud por fallback sobre desc_funcion ('Salud').,funcion
L2-M002,Provisiones para Contingencias,Gobierno y administración,2,Gobierno y administración,Provisiones para Contingencias,Partida de provisiones presupuestales.,explicit
L2-E178,"Supervisión, Promoción y Defensoría Jurídica de los Derechos Laborales",Justicia,2,Justicia,Defensoría de Derechos Laborales,"Supervisión, promoción y defensoría de derechos laborales.",explicit
L2-U037,Fomento al Autoempleo y Sociedades Cooperativas,Apoyos sociales,2,Apoyos sociales,Autoempleo y Cooperativas,Fomento al autoempleo y sociedades cooperativas.,explicit
L2-S229,Apoyo para el Desarrollo Integral de la Mujer,Apoyos sociales,2,Apoyos sociales,Desarrollo Integral de la Mujer,Apoyo para el desarrollo integral de la mujer.,explicit
L2-S132,Apoyo Profesional a la Población en sus Tareas Educativas en las Bibliotecas Públicas,Educación,2,Educación,Apoyo Profesional a la Población en sus Tareas Educativas en las Bibliotecas Públicas,Se clasifica en Educación por fallback sobre desc_funcion ('Educación').,funcion
L2-S225,La Escuela Es Nuestra-Mejor Escuela,Educación,2,Educación,La Escuela Es Nuestra — Mejor Escuela,Recursos directos a comités escolares para mejoras.,explicit
L2-S079,Apoyo a unidades habitacionales,Calles y banquetas,2,Calles y banquetas,Apoyo a unidades habitacionales,Se clasifica en Calles y banquetas por fallback sobre desc_funcion ('Vivienda y Servicios a la Comunidad').,funcion
L2-E103,Acciones de gabinete de seguridad,Seguridad,2,Seguridad,Acciones de gabinete de seguridad,Se clasifica en Seguridad por fallback sobre desc_funcion ('Asuntos de Orden Público y de Seguridad Interior').,funcion
L2-U040,Apoyos para la Formación Policial,Seguridad,2,Seguridad,Formación Policial · Apoyos,Apoyos económicos para formación policial.,explicit
L2-E049,Producción y servicios fílmicos y cinematográficos,Gobierno y administración,2,Gobierno y administración,Producción y servicios fílmicos y cinematográficos,Se clasifica en Gobierno y administración por fallback sobre desc_funcion ('Otros Servicios Generales').,funcion
L2-G016,Control y regulación sanitaria,Gobierno y administración,2,Gobierno y administración,Control y regulación sanitaria,Se clasifica en Gobierno y administración por regla de palabra clave sobre el nombre del programa.,keyword
L2-K022,"Construcción, Ampliación y Mejoramiento de Infraestructura de Transporte Publico",Transporte público,2,Transporte público,Infraestructura de Transporte Público,"Obra mayor en transporte: Cablebús L3, ampliación Trolebús, modernización L1 Metro.",explicit
L2-E124,Programa integral de movilidad inteligente,Transporte público,2,Transporte público,Programa integral de movilidad inteligente,Se clasifica en Transporte público por regla de palabra clave sobre el nombre del programa.,keyword
L2-U010,Prevención de enfermedades y promoción a la Salud,Salud,2,Salud,Prevención de enfermedades y promoción a la Salud,Se clasifica en Salud por regla de palabra clave sobre el nombre del programa.,keyword
L2-E155,"Financiamiento, expropiaciones y gastos inherentes al programa vivienda en conjunto",Apoyos sociales,2,Apoyos sociales,"Financiamiento, expropiaciones y gastos inherentes al programa vivienda en conjunto",Se clasifica en Apoyos sociales por regla de palabra clave sobre el nombre del programa.,keyword
L2-G021,"Verificación, inspección y vigilancia ambiental",Medio ambiente,2,Medio ambiente,"Verificación, inspección y vigilancia ambiental",Se clasifica en Medio ambiente por regla de palabra clave sobre el nombre del programa.,keyword
L2-U036,Apoyo a la Producción y Servicios Fílmicos y Cinematográficos,Cultura y deporte,2,Cultura y deporte,Producción Fílmica,Apoyo a producción y servicios fílmicos.,explicit
L2-U022,"Acciones para mejorar el servicio de transporte público, así como la infraestructura asociada",Transporte público,2,Transporte público,Mejora del Transporte Público · Apoyos,Acciones y apoyos para mejorar transporte público e infraestructura asociada.,explicit
L2-E027,Fortalecimiento a la educación complementaria,Educación,2,Educación,Fortalecimiento a la educación complementaria,Se clasifica en Educación por regla de palabra clave sobre el nombre del programa.,keyword
L2-E021,Seguridad ciudadana en cuadrantes,Seguridad,2,Seguridad,Seguridad ciudadana en cuadrantes,Se clasifica en Seguridad por regla de palabra clave sobre el nombre del programa.,keyword
L2-O004,Integración de Servicios Tecnológicos e Informáticos,Gobierno y administración,2,Gobierno y administración,Tecnología Gubernamental,Integración de servicios tecnológicos e informáticos.,explicit
L2-S220,Atención Social Inmediata a Poblaciones Prioritarias (ASIPP),Apoyos sociales,2,Apoyos sociales,Atención Social Inmediata (ASIPP),Atención social inmediata a poblaciones prioritarias.,explicit
L2-P026,"Diseño, Coordinación y Operación de la Política Fiscal y Hacendaria",Gobierno y administración,2,Gobierno y administración,Política Fiscal y Hacendaria,Diseño y operación de la política fiscal.,explicit
L2-G023,Protección y regulación animal,Parques y espacios públicos,2,Parques y espacios públicos,Protección y regulación animal,Se clasifica en Parques y espacios públicos por regla de palabra clave sobre el nombre del programa.,keyword
L2-E113,Gestión integral de riesgos,Seguridad,2,Seguridad,Gestión integral de riesgos,Se clasifica en Seguridad por fallback sobre desc_funcion ('Asuntos de Orden Público y de Seguridad Interior').,funcion
L2-P049,Planeación y gestión del ordenamiento territorial y asentamientos humanos en alcaldías,Gobierno y administración,2,Gobierno y administración,Planeación y gestión del ordenamiento territorial y asentamientos humanos en alcaldías,Se clasifica en Gobierno y administración por regla de palabra clave sobre el nombre del programa.,keyword
L2-S036,Programa Altépetl,Medio ambiente,2,Medio ambiente,Altépetl Bienestar,Programa Altépetl — conservación del suelo de conservación y comunidades rurales.,explicit
L2-G074,"Regulación y Desarrollo del Sector Industrial, Comercial y de Servicio",Gobierno y administración,2,Gobierno y administración,Regulación Industrial y Comercial,"Regulación y desarrollo industrial, comercial y de servicio.",explicit
L2-E136,Operación de viveros,Medio ambiente,2,Medio ambiente,Operación de viveros,Se clasifica en Medio ambiente por fallback sobre desc_funcion ('Protección Ambiental').,funcion
L2-U018,Apoyo para la atención y prevención de las adicciones,Salud,2,Salud,Apoyo para la atención y prevención de las adicciones,Se clasifica en Salud por fallback sobre desc_funcion ('Salud').,funcion
L2-S100,"Participación, Arte y Cultura Incluyente",Cultura y deporte,2,Cultura y deporte,"Participación, Arte y Cultura Incluyente",Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-F008,"Promoción de la inversión, el desarrollo, competitividad e innovación de los sectores industrial, comercial y de servicios",Apoyos sociales,2,Apoyos sociales,"Promoción de la inversión, el desarrollo, competitividad e innovación de los sectores industrial, comercial y de servicios","Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Asuntos Económicos, Comerciales y Laborales en General').",funcion
L2-E180,Servicios de Educación Complementaria,Educación,2,Educación,Educación Complementaria,Servicios educativos complementarios.,explicit
L2-E183,"Atención y Prevención de la Violencia y Discriminación por Razones de Genero contra Mujeres, Adolescentes y Niñas",Apoyos sociales,2,Apoyos sociales,Prevención de la Violencia de Género,"Atención y prevención de violencia contra mujeres, adolescentes y niñas.",explicit
L2-E011,Fortalecimiento en materia jurídica,Gobierno y administración,2,Gobierno y administración,Fortalecimiento en materia jurídica,Se clasifica en Gobierno y administración por fallback sobre desc_funcion ('Otros Servicios Generales').,funcion
L2-S019,Estímulos económicos a deportistas destacados representativos de la Ciudad de México,Cultura y deporte,2,Cultura y deporte,Estímulos económicos a deportistas destacados representativos de la Ciudad de México,Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-S054,Seguro de desempleo,Apoyos sociales,2,Apoyos sociales,Seguro de Desempleo,Apoyo económico temporal a personas desempleadas.,explicit
L2-G073,Regulación del Desarrollo Urbano,Gobierno y administración,2,Gobierno y administración,Regulación Urbana,Regulación del desarrollo urbano.,explicit
L2-S007,Capacitación a la población joven ocupada y desocupada de la Ciudad de México,Apoyos sociales,2,Apoyos sociales,Capacitación a la población joven ocupada y desocupada de la Ciudad de México,"Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Asuntos Económicos, Comerciales y Laborales en General').",funcion
L2-S022,Fomento al Trabajo Digno,Apoyos sociales,2,Apoyos sociales,Fomento al Trabajo Digno,Apoyos para acceder a empleo formal.,explicit
L2-U041,"Convenios para la Mejora de la Educación, Ciencia, Tecnología e Innovación",Educación,2,Educación,"Convenios para Educación, Ciencia y Tecnología",Convenios con instituciones para mejora educativa.,explicit
L2-S102,Facilitadores culturales y deportivos,Cultura y deporte,2,Cultura y deporte,Facilitadores culturales y deportivos,Se clasifica en Cultura y deporte por regla de palabra clave sobre el nombre del programa.,keyword
L2-S010,Coinversión para la inclusión y el bienestar social,Apoyos sociales,2,Apoyos sociales,Coinversión Inclusión Social,Coinversión para inclusión y bienestar social.,explicit
L2-E109,Apoyo Integral a Victimas,Justicia,2,Justicia,Apoyo Integral a Víctimas,Atención y acompañamiento a víctimas del delito.,explicit
L2-S098,Apoyo Económico a Jefas de Familia para su Inclusión Laboral,Apoyos sociales,2,Apoyos sociales,Apoyo Económico a Jefas de Familia para su Inclusión Laboral,Se clasifica en Apoyos sociales por fallback sobre desc_funcion ('Protección Social').,funcion
L2-S140,"Prevención del delito, Tlalpan",Seguridad,2,Seguridad,"Prevención del delito, Tlalpan",Se clasifica en Seguridad por fallback sobre desc_funcion ('Asuntos de Orden Público y de Seguridad Interior').,funcion
L2-E177,Operación de Museos,Cultura y deporte,2,Cultura y deporte,Museos,Operación de museos de la ciudad.,explicit
L2-E111,Asesoramiento en materia jurídica,Gobierno y administración,2,Gobierno y administración,Asesoramiento en materia jurídica,Se clasifica en Gobierno y administración por fallback sobre desc_funcion ('Otros Servicios Generales').,funcion
L2-E022,"Cuidado y conservación de los bosques, áreas de valor ambiental y suelo de conservación",Medio ambiente,2,Medio ambiente,Cuidado de Bosques y Suelo de Conservación,"Conservación de bosques, áreas de valor ambiental y suelo de conservación.",explicit
